name,speciality,average_score,hospital_name,city,state
"Dr. Michael Gottschalk, MD",Orthopedic Surgery,5,EMORY CLINIC,Dunwoody,GA
"Dr. Daniel Branham, MD",Hand and Upper Extremity Surgery,4.5,Tennessee Orthopaedic Clinic,Crossville,TN
"Dr. Lee Diehl, MD",Orthopedic Sports Medicine,4.5,Duke Regional Hospital,Durham,NC
"Dr. Alison Toth, MD",Orthopedic Sports Medicine,4.5,DUKE MEDICAL CTR,Durham,NC
"Dr. Luis Gonzalez, MD",Neurosurgery,5,Duke University Hospital,Durham,NC
"Dr. Joseph Barker, MD",Sports Medicine,4.5,Raleigh Orthopaedic Clinic,Raleigh,NC
"Dr. John Sampson, MD",Neurosurgery,3,DUKE MEDICAL CTR,Durham,NC
"Dr. William Isbell, MD",Sports Medicine,4.5,Raleigh Orthopaedic Clinic,Cary,NC
"Dr. William Littlefield, MD",Orthopedic Hand Surgery,4,Peachtree Orthopaedic Clinic,Cumming,GA
"Dr. James Rubright, MD",Orthopedic Surgery,5,Hughston Clinic,Nashville,TN
"Dr. Harrison Tuttle, MD",Orthopedic Hand Surgery,4.5,Raleigh Orthopaedic Clinic,Raleigh,NC
"Dr. Stephen McCollam, MD",Orthopedic Hand Surgery,4.5,Peachtree Orthopaedic Clinic,Atlanta,GA
"Dr. Todd Rubin, MD",Orthopedic Surgery,0,Hughston Clinic,Nashville,TN
"Dr. Joseph Schreiber, MD",Orthopedic Hand Surgery,5,Raleigh Orthopaedic Clinic,Raleigh,NC
"Dr. Walter McClelland Jr, MD",Orthopedic Hand Surgery,5,Peachtree Orthopaedic Clinic,Atlanta,GA
"Dr. Lawrence Babat, MD",Orthopedic Spine Surgery,4,Hughston Clinic,Nashville,TN
"Dr. Paul Abbey, MD",Orthopedic Hand Surgery,2.5,Hughston Clinic,Nashville,TN
"Dr. Jason Evans, MD",Orthopedic Trauma Surgery,3.5,Hughston Trauma Clinic,Nashville,TN
"Dr. Philip Kregor, MD",Orthopedic Surgery,4.5,Hughston Trauma Clinic,Nashville,TN
"Dr. Linda Cendales, MD",Orthopedic Hand Surgery,0,Duke Wound Management Clinic,Durham,NC
"Dr. Steve Salyers, MD",Orthopedic Surgery,2.5,Hughston Clinic,Nashville,TN
"Dr. Philip Kregor, MD",Orthopedic Surgery,4.5,Hughston Trauma Clinic,Nashville,TN
"Dr. Jason Evans, MD",Orthopedic Trauma Surgery,3.5,Hughston Trauma Clinic,Nashville,TN
"Dr. Daniel Burval, MD",Orthopedic Spine Surgery,4,Hughston Clinic,Hendersonville,TN
"Dr. Marc Tressler, DO",Orthopedic Surgery,4,Hughston Clinic,Hendersonville,TN
"Dr. Gregg Motz, MD",Orthopedic Sports Medicine,4.5,Hughston Clinic,Hendersonville,TN
"Dr. Christopher Kauffman, MD",Orthopedic Surgery,3,Hughston Clinic,Nashville,TN
"Dr. George Daneker, MD",Complex General Surgical Oncology,4,Cancer Treatment Centers of America at Southeastern Regional Medical Center,Newnan,GA
"Dr. Monica Rizzo, MD",Complex General Surgical Oncology,5,Emory Clinic,Atlanta,GA
"Dr. Kevin Watkins, MD",Complex General Surgical Oncology,4.5,Cancer Treatment Centers of America at Southeastern Regional Medical Center,Newnan,GA
"Dr. Charles Ho, MD",Ophthalmology,4.5,Marietta Eye Clinic,Marietta,GA
"Dr. Justin Wilkin, MD",Ophthalmology,5,Marietta Eye Clinic,Canton,GA
"Dr. Paul Brock, MD",General Surgery,4,Harbin Clinic,Rome,GA
"Dr. Byron Long, MD",Ophthalmology,5,Marietta Eye Clinic,Marietta,GA
"Dr. Gregory McDonald, MD",General Surgery,5,Harbin Clinic,Cartersville,GA
"Dr. Andre Cohen, MD",Ophthalmology,4.5,Marietta Eye Clinic,Douglasville,GA
"Dr. Penny Castellano, MD",Obstetrics & Gynecology,5,Emory Clinic,Atlanta,GA
"Dr. Uthan Vivek, MD",Vascular Surgery,5,North Atlanta Vascular Clinic,Johns Creek,GA
"Dr. Charles Lewinstein, MD",Vascular Surgery,3,Emory Clinic,Atlanta,GA
"Dr. John Geisler, MD",Gynecologic Oncology,4,Cancer Treatment Centers of America at Southeastern Regional Medical Center,Newnan,GA
"Dr. Kelly Manahan, MD",Gynecologic Oncology,2.5,Cancer Treatment Centers of America at Southeastern Regional Medical Center,Newnan,GA
"Dr. Steven Macheers, MD",Cardiothoracic Surgery,5,Emory Clinic,Atlanta,GA
"Dr. Edward Chen, MD",Cardiothoracic Surgery,4,Emory Clinic,Atlanta,GA
"Dr. Douglas Murphy, MD",Cardiothoracic Surgery,4.5,Emory Clinic,Atlanta,GA
"Dr. Jeffrey Miller, MD",Cardiothoracic Surgery,4.5,Emory Clinic,Atlanta,GA
"Dr. Steven Vallance, MD",General Surgery,5,Capital Surgical Clinic,Frankfort,KY
"Dr. Bunja Rungruang, MD",Gynecologic Oncology,5,Augusta University Medical Center,Augusta,GA
"Dr. Michael MacFee, MD",Gynecologic Oncology,3.5,Augusta University Medical Center,Augusta,GA
"Dr. John Garrett, MD",Cardiac Surgery,5,Cardiovascular and Thoracic Surgery Partners at Virginia Hospital,Arlington,VA
"Dr. John Rhee, MD",Cardiac Surgery,5,Cardiovascular and Thoracic Surgery Partners at Virginia Hospital,Arlington,VA
"Dr. Jason Bowling, MD",General Surgery,4.5,Capital Surgical Clinic,Frankfort,KY
"Dr. Bryan Shouse, MD",General Surgery,4.5,Capital Surgical Clinic,Frankfort,KY
"Dr. Kenton Zehr, MD",Cardiac Surgery,4,THE JOHNS HOPKINS HOSPITAL,Baltimore,MD
"Dr. Duke Cameron, MD",Cardiac Surgery,4.5,Johns Hopkins Hospital,Baltimore,MD
"Dr. Joel Price, MD",Adult Cardiac Surgery,5,THE JOHNS HOPKINS HOSPITAL,Baltimore,MD
"Dr. Paul Chomiak, MD",Thoracic Surgery,4.5,Sacred Heart Cancer Center,Pensacola,FL
"Dr. John Moore, MD",Obstetrics & Gynecology,4,Peachtree Women's Clinic,Alpharetta,GA
"Dr. Lindsay Killingsworth, MD",Obstetrics & Gynecology,4.5,Peachtree Women's Clinic,Alpharetta,GA
"Dr. Gary Laubacker Jr, DO",Internal Medicine,5,RT Stanley Health Center,Lyons,GA
"Dr. Monal Shah, MD",Pediatrics,5,Peach Clinic,Cumming,GA
"Dr. Irandathy Rodrigo, MD",Family Medicine,2.5,Family Medical Clinic,Lawrenceville,GA
"Dr. Rajiv Pandya, MD",Orthopedic Surgery,5,Shoulder Clinic,Atlanta,GA
"Dr. Michael Roberts, MD",Adolescent Medicine,4,Augusta University Medical Clinic,Greensboro,GA
"Dr. Roger Coffman Jr, MD",Pediatrics,5,BHA Highland Pediatric Clinic,Hixson,TN
"Dr. Matthew Good, MD",Pediatrics,5,BHA Highland Pediatric Clinic,Hixson,TN
"Dr. Abigail Kamishlian, MD",Pediatrics,3.5,THE CHILDRENS ADOLESCENT MEDICAL CENTER,Forest Park,GA
"Dr. David Neall, MD",Pediatrics,3.5,BHA Highland Pediatric Clinic,Hixson,TN
"Dr. Salman Ashfaq, MD",Cardiology,4.5,Cardiovascular Clinic,Gainesville,GA
"Dr. Lisa Rivera, MD",Neurology,5,Kaiser Permanente Crescent Centre Medical Center,Tucker,GA
"Dr. David Ecklund, MD",Pediatrics,5,Kaiser Permanente Cumberland Medical Center,Atlanta,GA
"Dr. Vishal Arora, MD",Interventional Cardiology,5,Augusta University Medical Center,Augusta,GA
"Dr. Clinton Ashford, MD","Ear, Nose, and Throat",5,Ashford Clinic,Athens,GA
"Dr. Craig Richman, MD",Plastic Surgery-Head & Neck,4.5,Cancer Treatment Centers of America at Southeastern Regional Medical Center,Newnan,GA
"Dr. Dennis Melton, MD",Infectious Disease Medicine,4,AbsoluteCARE Medical Center,Atlanta,GA
